house_lord,house,nature,description
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Good, Definition Results 
house1lord,house1,Neutral, The subject lives by his own exertion will have an independent spirit and will have two wives or one married and another illegal. If the Lagnadhipati is well disposed in Lagna the person becomes famous in his own community and country. The reader must note that the combination is of general application. The exact nature of the results should be interpreted by taking into account the strength weakness and other factors attendant upon the house lord. If Lagnadhipati is in Lagna and aspected by evil planets the results produced will be quite different from those which he would have produced by being aspected by benefics. The same rules apply to all Bhavas which should be borne in mind by every reader. 
house1lord,house2,Neutral, There will be more of gains teased or worried by enemies good character respectable and generous hearted. Well disposed. He will gladly discharge his duties towards his kith and kin and will be ambitious. He will possess prominent eyes and be blessed with forethought. 
house1lord,house3,Neutral, Makes one highly couragious fortunate reepectable two wives intelligent and happy. When Lagnadhipati is well disposed the natives rise in life will be brought about by his brothers. He may become famous as a musician or a mathematician depending upon the nature of the sign and the planets involved. 
house1lord,house4,Neutral, There will be happiness from parents many brothers materialistic well built fair looking and well-behaved. If the 4th lord is favourably disposed the person will acquire considerable landed properties specially through maternal sources. He will be rich happy famous and commands a number of conveyances. 
house1lord,house5,Neutral, The first child does not survive not much happiness from children short tempered subservient and serving others. If fortified  In the good graces of rulers or powerful political parties and likely to be absorbed into trade or diplomatic services. He will propitiate deities consistent with the indications of the fifth lord. 
house1lord,house6,Neutral, In addition to the results produced by the lord of Lagna being in the third the following may also be noted. There will be bebts but they will be liquidated when the Dasa of the Lagndhipati comes. When the lord is fortified the native joins the army becomes a Commander or even a Commander-in-chief provided the lords Dasa operates at the opportune period. Or he may become head of medical or health services or an expert physician or surgeon. Here the other influences should be suitably balanced. 
house1lord,house7,Neutral, The wife does not live or there will be more than one marriage. Later in life becomes detached from worldly affairs and tries to lead an ascetic life. Depending upon other factors the subject will either be rich or poor. There will be much travelling. If well disposed he will spend most of his time in foriegn countries and lead a licentious life. Or he will be a puppet in the hands of his parents-in-law. 
house1lord,house8,Neutral, Learned gambling tendencies interested in occultism and mean character. If the lord is strong the native takes pride in helping others has a number of friends religiously inclined and will have a peaceful and sudden end. 
house1lord,house9,Neutral, Generally fortunate protector of others religious if a Hinduworshipper of Vishnu good orator happiness on account of wife and children and rich. Provided the lord is well disposed he will inherit good ancestral and paternal property. The father will be famous philanthropic and god-fearing. 
house1lord,house10,Neutral,In addition to the results of the 4th house there will be professional success honoured by eminent men a research scholar or specialisation in that branch of knowledge or profession which is represented by lord of Lagna and the 10th.
house1lord,house11,Neutral, In addition to the results of the 2nd house there will always be gains in business if a businessman. The subject will not experience financial straits. He owes his prosperity to his elder brother. He will earn enormous business profits consistent with the indications of the other planets joining the combination. 
house1lord,house12,Neutral, The same results as in the 8th are produced. In addition there will be many losses visiting holy places and no success in business enterprises. He will spend inherited riches on charities and other deserving causes. Emotionally balanced he will dedicate himself for public weal. 
house2lord,house1,Neutral, The native becomes no doubt wealthy but he hates his own family lacks polite manners becomes passionate subservient and time-serving. When the lord of the 2nd is in Lagna one will earn money by his own effort intelligence and learning or he will get inherited wealth if the 9th lord or the Sun has anything to do with this combination. 
house2lord,house2,Neutral, Becomes proud. The native may marry twice or thrice depending upon the strength of the seventh house. He may become childless. The position of the 2nd lord in a constellation which does not happen to be the 3rd 5th and 7th from Janma Nakshatra is highly desirable especially if he is otherwise fortified i.e. joined with or aspected by benefics. The exaltation of the 2nd lord of his disposition in Lagna the 4th 5th 7th 9th or 10th will fortify him to the extent of making him a yogakaraka. The native will be enabled to earn considerable fortune through business or other occupations consistent with the nature of the 2nd lord and 2nd house. Depending upon the nature of the aspects cast on the 2nd lord by malefic planets the native will sustain losses. An affliction to the 2nd lord may also express itself in the shape of the subject not getting nutritious and delicious food or his family and children suffering from constant diseases or want of cordial relations between the native and his life-partner. 
