house_lord,house,nature,description
house2lord,house3,Neutral, Brave intelligent good-natured but depraved character. Atheistic tendencies will be rampant and he becomes addicted to luxuries. Later in life he turns out to be a miser. When the 2nd lord in the 3rd is well fortified he will be benefited by his sisters. He will benefit by learning fine arts viz. music and dancing. He will also indulge in propitiating Kshudra Devatas or evil spirits. 
house2lord,house4,Neutral, The above results will apply in addition to the following. He will spend money for his own happiness. He will be highly frugal in dealing with money. When the 2nd lord in the 4th is well fortified one will earn well as an automobile dealer or agent or an agriculturist or landlord or commission agent. He will also be benefited by his maternal relations. There will be losses on this account if the 4th lord is afflicted. 
house2lord,house5,Neutral,Hating family sensual not spending money even on children he lacks manners and etiquette. When the 2nd lord in the 5th is well fortified there will be unexpected acquisition of wealth through lotteries crosswords or the favour of rulers.
house2lord,house6,Neutral, Income and expenditure from enemies. He will suffer from defects or diseases in the anus and thighs. Amassing of wealth by black-marketing deceit dissimulation and by creating misunderstandings and troubles between friends and relatives and through questionable and suspicious dealings can be anticipated if the second lord joins the 6th and is well fortified. If afflicted he will be involved in these troubles and sentenced for such crimes as breach of trust forgeries and perjuries. 
house2lord,house7,Neutral, Likely to become a healer. Laxity of morals will mark both husband and wife. He will waste much money on the gratification of the senses. When the second lord who joins the 7th with the 7th lord is strong there will be influx of wealth through foreign sources. The native will undertake journeys to foreign countries and do business. When the Rasi Navamsa or the constellation held by the 2nd lord happens to be a feminine one then he will benefit by contact with women. 
house2lord,house8,Neutral, Will have very little or no happiness from wife or husband. Misunderstandings with elder brothers. Gets landed properties. When the 2nd lord is strong there will be influx as well as loss of wealth. Actual observation reveals that under such a combination there will hardly be any earnings but inherited or accumulated wealth will disappear. 
house2lord,house9,Neutral,Skilful ill-health in young age but healthy afterwards will possess lot of wealth and become happy. When the 2nd lord is well fortified and the 9th lord is in Lagna the native will have good inheritance. There will also be benefits through different sources according to the nature of the sign and nakshatra held by the 2nd lord.
house2lord,house10,Neutral, Respect from elders and superiors learned wealthy and he earns by his own exertions. The native will take to a number of useful avocations. He will do business or take to agriculture and also engage himself in philosophical lectures and dissertations and thereby benefit financially. Here again the constellation and the sign held by the 2nd lord determine the exact nature and sources of earnings. Powerful afflictions will cause loss from the very same sources. 
house2lord,house11,Neutral, Health will be bad during childhood earns considerable wealth but becomes unscrupulous. When well fortified one earns by lending money or as a banker or by running a boarding house. 
house2lord,house12,Neutral, The native becomes a respectable man. In all probability he will be a government servant and will be deprived of the happiness of elder brother. The income will be through ecclesiastical sources. If the second lord is afflicted he will lose money on this account. 
house3lord,house1,Neutral,Earns livelihood by self-exertion becomes vindictive lean and tall body brave and courageous always sickly and serving others. When well fortified he will become an expert in dancing music and acting and the means of livelihood will be primarily fine arts. He will earn a good name as an actor.
house3lord,house2,Neutral,This is an unfavourable position as it makes the subject rather unscrupulous unless there are other favourable combinations. He will make advances on the women and wealth of others. Likes mean deeds and is generally devoid of happiness. He is likely to lose his younger brothers.
house3lord,house3,Neutral,Brave surrounded by friends relatives blessed with good children wealthy happy and contented. The 3rd lord well disposed in the 3rd 6th or 11th indicates a number of younger brothers. When the 3rd lord happens to be Mars and occupies the 3rd then generally the native will lose all his younger brothers. Saturn will also give similar effects. The Sun in a similar position will kill elder brothers.
house3lord,house4,Neutral,If the lord of the 3rd is in the 4th life will be happy on the whole. He becomes rich and learned. But the wife will be cruel-hearted and mean. When the lord of the 3rd is well fortified in the 4th and the lords of Lagna and 9th are rendered weak his brothers will survive him. He will have step-brothers if the 9th lord is strong. When Mars is weak he will lose his lands and he will have to live in others houses. Evil results will be minimised if the 3rd house is beneficially disposed.
house3lord,house5,Neutral,Much pleasure will not be derived from children. Financially well off in life. Friction will prevail in the domestic life. If the 3rd lord is in the 5th well disposed the native will be highly benefited by his brothers. He will carry on agricultural operations on a large scale or he will be adopted by a rich family. He will also shine well in Government service.
house3lord,house6,Neutral,Hates brothers and relatives and difficulty through them. Becomes rich. Maternal relatives will suffer. Accepts illegal gratifications. When the 3rd lord is in the 6th well disposed younger brother joins the Army. One of the brothers will become a successful physician. If the 6th lord also joins the 3rd the native becomes either a sportsman physical culturist or an athlete. When the 6th and the 3rd are both afflicted he will suffer from diseases and be tormented by enemies and he will himself be deceitful.
house3lord,house7,Neutral,May incur the displeasure of rulers or authorities. Many vicissitudes in life. Much suffering in childhood. The union will be unfortunate. Danger while travelling. When the 3rd lord is in the 7th well fortified there will be cordial feelings between brothers. When the 7th lord is in Lagna one of the brothers will settle in a foreign country and he will help the native.
house3lord,house8,Neutral,Involvement in a criminal case or false accusations. Trouble on account of death or bequests marriage unfortunate career will not be smooth victim of misfortune. When the 3rd lord is in the 8th he will suffer from a serious and dangerous disease and lose his younger brother.
house3lord,house9,Neutral,Fortune will improve after marriage. Father untrustworthy. Long journeys. Sudden and unexpected changes in life. When the 3rd lord is in the 9th favourably disposed the natives brother will inherit ancestral property. The native himself will be benefited by his brother. When afflicted the person will have misunderstandings with his father.
house3lord,house10,Neutral,A quarrelsome and faithless wife. The native will become rich. He will be happy and intelligent. Gain from journeys connected with profession. When the 3rd lord is in the 10th all the brother will shine well and they will be helpful to him in all ways
house3lord,house11,Neutral,Not a very good combination.. Earnings with effort. He becomes vindictive. The body will be unattractive and emaciated. Subservient to or dependent upon others and liable to surfer from frequent attacks of illness.
house3lord,house12,Neutral,Sorrow through relatives gets fortune from marriage seclusion. Great ups and downs. Unscrupulous father. When the 3rd lord is in the 12th the youngest brother will be a tyrant. The native becomes poor on account of him.
house4lord,house1,Neutral,The person becomes highly learned but will be afraid to speak in public assemblies. He is likely to lose inherited wealth. According as the fourth lord posited in Lagna is strong middling or weak the native will have been born in a rich mediocre or poor family.
house4lord,house2,Neutral,He will be highly fortunate courageous and happy. He will have a sarcastic nature. He will inherit property from maternal grandfather.
house4lord,house3,Neutral,The person will be sickly generous a man of character and will acquire wealth by self-effort. He will suffer from the machinations of step-brothers and step-mother.
house4lord,house4,Neutral,Religiously inclined will have respect for traditions. He will be rich respected happy and sensual.
house4lord,house5,Neutral,Loved and respected by others devotee of Vishnu becomes rich by self-effort. Mother comes from a respectable family. The native will acquire vehicles.
house4lord,house6,Neutral,Short-tempered and mean he will have dissimulating habits evil thoughts and intentions. He will always be roaming about.
house4lord,house7,Neutral,Generally happy  will command houses and lands  will eke out livelihood in distant places or near his birthplace according as the seventh happens to be a movable or fixed sign.
house4lord,house8,Neutral,The person becomes miserable. Father dies early. He will be either impotent or loose in sex-life. He is also likely to lose landed properties or face litigation.
house4lord,house9,Neutral,Generally a fortunate combination favouring happiness in regard to father and properties.
house4lord,house10,Neutral,Will have political success. He will be an expert chemist. He will vanquish his enemies and make his personality felt by the world. Loss of reputation is posible if the 4th lord is afflicted.
house4lord,house11,Neutral,Self-made generous sickly mother fortunate but may have a step-mother also. Favours success in selling and buying cattle and lands.
house4lord,house12,Neutral,Deprived of happiness and properties. Early death to mother bad finances and generally a miserable existence.
